,question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
2901,Discuss the ethical challenges associated with Logarithms. - Perspective 172,Mathematics,Logarithms,60.52,0.6,892.0,535.0,19.0,Create,Easy
2902,Outline the historical development of Number Systems concepts. - Perspective 131,Maths,Number Systems,12.81,0.1,1104.0,110.0,1.0,Understand,Easy
2903,Compare and contrast the primary theories of Calculus. - Perspective 615,Mathematics,Calculus,88.72,0.93,2329.0,2165.0,8.0,Evaluate,Easy
2904,Draft a detailed overview of the mathematical foundations of Entropy. - Perspective 430,Physics,Entropy,24.38,0.21,417.0,87.0,15.0,Evaluate,Easy
2905,Analyze the relationship between Social Movements and the wider Social Science field. - Perspective 966,Social Science,Social Movements,73.32,0.7,2852.0,1996.0,8.0,Apply,Easy
2906,Compare and contrast the primary theories of Ion trap.,Physics,Ion trap,43.39,0.46,154.0,70.0,19.0,Create,Easy
2907,Draft a detailed overview of the mathematical foundations of Prime numbers. - Perspective 890,Mathematics,Prime numbers,57.22,0.6,2625.0,1575.0,5.0,Apply,Medium
2908,What are the most common misconceptions about Matrices? - Perspective 957,Mathematics,Matrices,92.5,0.97,877.0,850.0,9.0,Analyze,Medium
2909,Summarize the key experimental findings related to Limits.,Mathematics,Limits,47.17,0.49,1048.0,513.0,20.0,Apply,Medium
2910,Examine the cross-disciplinary applications of Landforms in other fields.,Geography,Landforms,62.74,0.62,1642.0,1018.0,1.0,Remember,Medium
2911,Compare and contrast the primary theories of Evolution. - Perspective 486,Biology,Evolution,29.4,0.28,2550.0,714.0,18.0,Analyze,Moderate
2912,Outline the historical development of Earth's layers concepts.,Geography,Earth's layers,57.82,0.59,2201.0,1298.0,18.0,Create,Hard
2913,Predict the future trends of Monsoons over the next decade.,Geography,Monsoons,85.43,0.85,885.0,752.0,4.0,Apply,Hard
2914,How has the understanding of Data Mining evolved since the 20th century?,Computer Science,Data Mining,10.98,0.14,308.0,43.0,4.0,Remember,Hard
2915,What is the significance of Light ray in modern Physics research? - Perspective 576,Physics,Light ray,53.39,0.51,2418.0,1233.0,13.0,Create,Hard
2916,Explain the step-by-step mechanism of Probability. - Perspective 410,Mathematics,Probability,77.34,0.73,972.0,709.0,5.0,Create,Medium
2917,Describe a real-world application of Numerical analysis in industry or daily life. - Perspective 865,Mathematics,Numerical analysis,59.25,0.56,1366.0,764.0,14.0,Evaluate,Moderate
2918,Outline the historical development of Biofertilizers concepts. - Perspective 561,Biology,Biofertilizers,82.94,0.85,1692.0,1438.0,17.0,Remember,Easy
2919,How has the understanding of Ecology evolved since the 20th century?,Science,Ecology,75.74,0.8,2575.0,2060.0,8.0,Create,Moderate
2920,Describe a real-world application of General Biology in industry or daily life. - Perspective 720,Science,General Biology,17.89,0.2,948.0,189.0,2.0,Apply,Hard
2921,What are the most common misconceptions about Radio waves? - Perspective 107,Physics,Radio waves,65.4,0.68,1120.0,761.0,7.0,Remember,Moderate
2922,Evaluate the impact of Consumer Behavior on society today. - Perspective 796,Economics,Consumer Behavior,93.49,0.94,2561.0,2407.0,19.0,Remember,Medium
2923,Draft a detailed overview of the mathematical foundations of Democracy.,Social Science,Democracy,87.81,0.84,1740.0,1461.0,7.0,Create,Hard
2924,Predict the future trends of Calculus over the next decade. - Perspective 946,Maths,Calculus,77.29,0.74,538.0,398.0,3.0,Evaluate,Easy
2925,Draft a detailed overview of the mathematical foundations of Sorting Algorithms.,Computer Science,Sorting Algorithms,36.37,0.4,2567.0,1026.0,4.0,Remember,Medium
2926,Identify the three most critical components of Algebra. - Perspective 524,Mathematics,Algebra,37.03,0.38,1729.0,657.0,15.0,Evaluate,Moderate
2927,Predict the future trends of Idioms over the next decade.,English,Idioms,63.0,0.59,2152.0,1269.0,12.0,Apply,Easy
2928,Draft a detailed overview of the mathematical foundations of Object-Oriented Programming.,Computer Science,Object-Oriented Programming,27.68,0.24,2223.0,533.0,12.0,Understand,Medium
2929,Describe a real-world application of Health and Diseases in industry or daily life. - Perspective 249,Science,Health and Diseases,31.72,0.3,1002.0,300.0,13.0,Remember,Easy
2930,Solve a comprehensive problem involving the core principles of Artificial Intelligence.,Computer Science,Artificial Intelligence,46.66,0.44,1470.0,646.0,4.0,Apply,Medium
2931,Compare and contrast the primary theories of Adverbs. - Perspective 587,English,Adverbs,48.26,0.5,102.0,51.0,16.0,Create,Medium
2932,Draft a detailed overview of the mathematical foundations of Quantum numbers. - Perspective 180,Chemistry,Quantum numbers,43.4,0.47,220.0,103.0,17.0,Analyze,Moderate
2933,Compare and contrast the primary theories of Himalayas.,Geography,Himalayas,78.26,0.77,2569.0,1978.0,15.0,Evaluate,Medium
2934,Examine the cross-disciplinary applications of Social Change in other fields. - Perspective 622,Social Science,Social Change,43.36,0.48,1405.0,674.0,4.0,Create,Moderate
2935,How has the understanding of Political Science evolved since the 20th century?,Social Science,Political Science,96.24,0.94,2298.0,2160.0,12.0,Understand,Moderate
2936,Critique a major study or paper regarding Trigonometry. - Perspective 178,Maths,Trigonometry,30.13,0.31,1203.0,372.0,17.0,Remember,Hard
2937,What is the significance of Globalization history in modern History research?,History,Globalization history,83.15,0.82,1113.0,912.0,9.0,Apply,Moderate
2938,Examine the cross-disciplinary applications of Health and Diseases in other fields. - Perspective 524,Science,Health and Diseases,42.66,0.44,2190.0,963.0,4.0,Understand,Medium
2939,Analyze the relationship between Permutations and the wider Mathematics field.,Mathematics,Permutations,40.91,0.4,2028.0,811.0,14.0,Evaluate,Medium
2940,Analyze the relationship between Federalism and the wider Social Science field. - Perspective 273,Social Science,Federalism,15.78,0.13,2125.0,276.0,14.0,Create,Hard
2941,Solve a comprehensive problem involving the core principles of Population Distribution. - Perspective 314,Geography,Population Distribution,78.82,0.8,679.0,543.0,6.0,Understand,Medium
2942,Evaluate the impact of Passive Voice on society today.,English,Passive Voice,64.38,0.68,902.0,613.0,6.0,Remember,Moderate
2943,Examine the cross-disciplinary applications of Shapes of orbitals in other fields. - Perspective 733,Chemistry,Shapes of orbitals,63.69,0.68,128.0,87.0,13.0,Remember,Hard
2944,Compare and contrast the primary theories of 3D Geometry.,Mathematics,3D Geometry,43.9,0.44,1958.0,861.0,18.0,Apply,Medium
2945,Discuss the ethical challenges associated with Probability. - Perspective 726,Maths,Probability,59.77,0.55,2185.0,1201.0,5.0,Remember,Hard
2946,Summarize the key experimental findings related to World War II.,History,World War II,73.55,0.77,1778.0,1369.0,14.0,Understand,Moderate
2947,How does Distributed Operating Systems affect the global economy or environment?,Computer Science,Distributed Operating Systems,15.18,0.15,1187.0,178.0,2.0,Remember,Moderate
2948,Solve a comprehensive problem involving the core principles of Probability. - Perspective 358,Maths,Probability,39.45,0.44,211.0,92.0,10.0,Analyze,Moderate
2949,Predict the future trends of Relative Clauses over the next decade. - Perspective 724,English,Relative Clauses,78.06,0.82,915.0,750.0,14.0,Create,Hard
2950,Evaluate the impact of Cyclones on society today.,Geography,Cyclones,68.46,0.64,2883.0,1845.0,17.0,Remember,Easy
2951,Analyze the relationship between Population ecology and the wider Biology field.,Biology,Population ecology,43.71,0.44,1873.0,824.0,15.0,Create,Moderate
2952,Predict the future trends of Blockchain over the next decade. - Perspective 504,Computer Science,Blockchain,31.72,0.36,1023.0,368.0,1.0,Understand,Hard
2953,What role does Health and Diseases play in the advancement of Science technology? - Perspective 904,Science,Health and Diseases,27.65,0.25,2811.0,702.0,1.0,Remember,Easy
2954,Solve a comprehensive problem involving the core principles of Blood.,Biology,Blood,95.28,0.92,2589.0,2381.0,19.0,Create,Medium
2955,Compare and contrast the primary theories of Monetary Policy.,Economics,Monetary Policy,51.37,0.49,2449.0,1200.0,17.0,Evaluate,Hard
2956,Discuss the ethical challenges associated with Rhizobium.,Biology,Rhizobium,54.76,0.53,1426.0,755.0,10.0,Evaluate,Hard
2957,Draft a detailed overview of the mathematical foundations of Diffraction.,Physics,Diffraction,97.47,0.95,2858.0,2715.0,12.0,Apply,Moderate
2958,Outline the historical development of Nouns concepts.,English,Nouns,78.4,0.81,1633.0,1322.0,9.0,Create,Easy
2959,What role does Urbanization play in the advancement of Geography technology? - Perspective 250,Geography,Urbanization,75.01,0.73,2232.0,1629.0,3.0,Analyze,Medium
2960,Evaluate the impact of Ancient Egypt on society today. - Perspective 856,History,Ancient Egypt,51.73,0.54,558.0,301.0,7.0,Evaluate,Medium
2961,Explain the step-by-step mechanism of Health and Diseases. - Perspective 290,Science,Health and Diseases,56.82,0.54,1285.0,693.0,17.0,Remember,Easy
2962,Explain the step-by-step mechanism of Conditionals. - Perspective 875,English,Conditionals,58.66,0.61,2754.0,1679.0,14.0,Create,Easy
2963,How does Ion trap affect the global economy or environment?,Physics,Ion trap,39.5,0.42,1601.0,672.0,17.0,Understand,Moderate
2964,Discuss the ethical challenges associated with Cold War. - Perspective 982,History,Cold War,52.11,0.57,1466.0,835.0,16.0,Create,Medium
2965,Analyze the relationship between Motion graphs and the wider Physics field.,Physics,Motion graphs,64.07,0.66,1637.0,1080.0,1.0,Create,Moderate
2966,What is the significance of Social Institutions in modern Social Science research?,Social Science,Social Institutions,54.51,0.55,1500.0,825.0,12.0,Analyze,Medium
2967,What is the significance of Consumer Behavior in modern Economics research?,Economics,Consumer Behavior,47.12,0.49,499.0,244.0,10.0,Create,Hard
2968,How does Total internal reflection affect the global economy or environment? - Perspective 305,Physics,Total internal reflection,58.81,0.57,1824.0,1039.0,3.0,Create,Easy
2969,What role does Punctuation play in the advancement of English technology?,English,Punctuation,68.96,0.66,968.0,638.0,1.0,Create,Medium
2970,How does Modern Poetry affect the global economy or environment?,English,Modern Poetry,94.66,0.95,1055.0,1002.0,4.0,Analyze,Moderate
2971,Explain the step-by-step mechanism of Cloud Computing.,Computer Science,Cloud Computing,92.84,0.88,1167.0,1026.0,17.0,Create,Hard
2972,Compare and contrast the primary theories of Material Science.,Science,Material Science,81.02,0.83,2606.0,2162.0,8.0,Create,Easy
2973,Critique a major study or paper regarding Oceanography. - Perspective 948,Geography,Oceanography,16.41,0.15,693.0,103.0,1.0,Remember,Medium
2974,Analyze the relationship between Exchange Rates and the wider Economics field.,Economics,Exchange Rates,54.79,0.59,1574.0,928.0,11.0,Remember,Easy
2975,Examine the cross-disciplinary applications of Cultural Studies in other fields.,Social Science,Cultural Studies,69.54,0.69,219.0,151.0,11.0,Evaluate,Medium
2976,Evaluate the impact of Modal Verbs on society today. - Perspective 800,English,Modal Verbs,83.59,0.8,2934.0,2347.0,13.0,Remember,Moderate
2977,Examine the cross-disciplinary applications of Urban Planning in other fields.,Social Science,Urban Planning,71.9,0.76,2084.0,1583.0,19.0,Analyze,Moderate
2978,Summarize the key experimental findings related to Plate Tectonics. - Perspective 772,Geography,Plate Tectonics,64.92,0.68,1714.0,1165.0,16.0,Remember,Easy
2979,Critique a major study or paper regarding Constitutional Law.,Social Science,Constitutional Law,36.36,0.34,580.0,197.0,14.0,Understand,Moderate
2980,How does Renewable Energy affect the global economy or environment?,Geography,Renewable Energy,96.07,0.96,1707.0,1638.0,14.0,Analyze,Hard
2981,Summarize the key experimental findings related to Transpiration.,Biology,Transpiration,22.81,0.18,2298.0,413.0,19.0,Create,Moderate
2982,Identify the three most critical components of Renewable Energy. - Perspective 582,Geography,Renewable Energy,79.17,0.81,1772.0,1435.0,9.0,Remember,Hard
2983,Draft a detailed overview of the mathematical foundations of Probability. - Perspective 687,Maths,Probability,83.77,0.79,743.0,586.0,7.0,Remember,Hard
2984,Propose a solution to a common challenge in Reported Speech. - Perspective 194,English,Reported Speech,10.21,0.11,1874.0,206.0,3.0,Create,Medium
2985,What are the most common misconceptions about Data Science? - Perspective 634,Computer Science,Data Science,57.49,0.57,1774.0,1011.0,16.0,Understand,Medium
2986,Predict the future trends of Structure of Atom over the next decade.,Chemistry,Structure of Atom,38.14,0.39,2057.0,802.0,17.0,Remember,Medium
2987,Examine the cross-disciplinary applications of Game Theory in other fields. - Perspective 766,Economics,Game Theory,19.47,0.23,2642.0,607.0,5.0,Understand,Moderate
2988,Describe a real-world application of Determiners in industry or daily life.,English,Determiners,90.26,0.9,2838.0,2554.0,15.0,Remember,Easy
2989,Summarize the key experimental findings related to Probability. - Perspective 113,Maths,Probability,36.15,0.33,1203.0,396.0,18.0,Understand,Hard
2990,Examine the cross-disciplinary applications of Globalization history in other fields.,History,Globalization history,73.49,0.7,427.0,298.0,19.0,Create,Medium
2991,Compare and contrast the primary theories of Indian Rocks. - Perspective 995,Geography,Indian Rocks,22.93,0.25,671.0,167.0,15.0,Apply,Medium
2992,Discuss the ethical challenges associated with Age of Discovery. - Perspective 655,History,Age of Discovery,94.72,0.96,2650.0,2544.0,11.0,Apply,Hard
2993,Outline the historical development of Cryptography concepts.,Mathematics,Cryptography,53.21,0.53,2426.0,1285.0,14.0,Analyze,Hard
2994,Critique a major study or paper regarding Gender Equality. - Perspective 766,Social Science,Gender Equality,41.46,0.39,1726.0,673.0,3.0,Create,Easy
2995,Identify the three most critical components of Himalayas.,Geography,Himalayas,22.38,0.24,1886.0,452.0,8.0,Evaluate,Easy
2996,Explain the step-by-step mechanism of Le Chatelier's principle.,Chemistry,Le Chatelier's principle,41.32,0.39,619.0,241.0,14.0,Apply,Easy
2997,Analyze the relationship between Algebra and the wider Maths field. - Perspective 290,Maths,Algebra,35.74,0.38,1298.0,493.0,13.0,Understand,Easy
2998,How has the understanding of Limits evolved since the 20th century?,Mathematics,Limits,46.43,0.49,1677.0,821.0,7.0,Create,Easy
2999,How does Himalayas affect the global economy or environment?,Geography,Himalayas,72.83,0.72,928.0,668.0,14.0,Create,Hard
3000,Evaluate the impact of General Biology on society today. - Perspective 680,Science,General Biology,12.89,0.1,2339.0,233.0,10.0,Understand,Easy
3001,Summarize the key experimental findings related to Globalization Impact.,Social Science,Globalization Impact,50.35,0.53,1933.0,1024.0,16.0,Evaluate,Moderate
3002,Discuss the ethical challenges associated with Atomic physics. - Perspective 195,Physics,Atomic physics,85.89,0.81,1504.0,1218.0,9.0,Apply,Easy
3003,What role does Civil Rights Movement play in the advancement of History technology?,History,Civil Rights Movement,98.59,0.94,539.0,506.0,4.0,Remember,Hard
3004,What is the significance of 3D Geometry in modern Mathematics research? - Perspective 583,Mathematics,3D Geometry,89.12,0.88,166.0,146.0,18.0,Evaluate,Moderate
3005,What are the most common misconceptions about Federalism? - Perspective 620,Social Science,Federalism,89.72,0.87,657.0,571.0,17.0,Remember,Moderate
3006,Analyze the relationship between Gerunds and Infinitives and the wider English field. - Perspective 167,English,Gerunds and Infinitives,100.0,0.97,363.0,352.0,2.0,Apply,Moderate
3007,Explain the step-by-step mechanism of Globalization. - Perspective 926,Economics,Globalization,85.29,0.88,1778.0,1564.0,20.0,Understand,Medium
3008,Identify the three most critical components of Gene expression.,Biology,Gene expression,17.28,0.19,2001.0,380.0,16.0,Remember,Easy
3009,Evaluate the impact of Human Circulatory System on society today. - Perspective 365,Biology,Human Circulatory System,29.09,0.28,1877.0,525.0,3.0,Understand,Medium
3010,Critique a major study or paper regarding Material Science.,Science,Material Science,95.91,0.98,2011.0,1970.0,10.0,Remember,Easy
3011,Evaluate the impact of Molar mass on society today.,Chemistry,Molar mass,31.67,0.34,1294.0,439.0,16.0,Understand,Moderate
3012,Outline the historical development of Mapping and GIS concepts.,Geography,Mapping and GIS,50.52,0.53,126.0,66.0,2.0,Evaluate,Easy
3013,Identify the three most critical components of Civics.,Social Science,Civics,55.12,0.53,1087.0,576.0,1.0,Create,Moderate
3014,Critique a major study or paper regarding Nuclear physics.,Physics,Nuclear physics,86.49,0.82,218.0,178.0,17.0,Remember,Medium
3015,Evaluate the impact of Respiration on society today. - Perspective 256,Biology,Respiration,93.61,0.96,985.0,945.0,12.0,Create,Easy
3016,Critique a major study or paper regarding Modal Verbs. - Perspective 828,English,Modal Verbs,86.87,0.85,1389.0,1180.0,4.0,Create,Easy
3017,Solve a comprehensive problem involving the core principles of Geometry. - Perspective 138,Maths,Geometry,22.98,0.19,2968.0,563.0,19.0,Understand,Easy
3018,Identify the three most critical components of Geometry. - Perspective 812,Maths,Geometry,64.34,0.62,1661.0,1029.0,13.0,Remember,Easy
3019,Examine the cross-disciplinary applications of Probability in other fields.,Maths,Probability,12.71,0.12,1220.0,146.0,16.0,Understand,Easy
3020,Summarize the key experimental findings related to Space Exploration. - Perspective 266,Science,Space Exploration,41.68,0.38,2639.0,1002.0,14.0,Create,Easy
3021,How does Data Science affect the global economy or environment?,Computer Science,Data Science,70.37,0.72,1684.0,1212.0,13.0,Apply,Moderate
3022,Describe a real-world application of Transpiration in industry or daily life. - Perspective 929,Biology,Transpiration,87.47,0.84,2930.0,2461.0,3.0,Remember,Easy
3023,Compare and contrast the primary theories of Algorithms.,Computer Science,Algorithms,26.15,0.28,2231.0,624.0,19.0,Create,Easy
3024,Explain the step-by-step mechanism of Relative Clauses. - Perspective 741,English,Relative Clauses,67.39,0.64,2637.0,1687.0,11.0,Remember,Hard
3025,Draft a detailed overview of the mathematical foundations of Cyber Safety.,Computer Science,Cyber Safety,69.15,0.67,387.0,259.0,14.0,Analyze,Moderate
3026,Examine the cross-disciplinary applications of Transpiration in other fields.,Biology,Transpiration,15.14,0.19,1915.0,363.0,2.0,Understand,Moderate
3027,What is the significance of Excretion in modern Biology research?,Biology,Excretion,37.62,0.37,1769.0,654.0,19.0,Create,Easy
3028,How does Ecology affect the global economy or environment?,Science,Ecology,41.03,0.44,2029.0,892.0,10.0,Evaluate,Hard
3029,Evaluate the impact of Idioms on society today.,English,Idioms,47.2,0.51,975.0,497.0,3.0,Analyze,Moderate
3030,Describe a real-world application of Monsoons in industry or daily life.,Geography,Monsoons,33.72,0.32,1168.0,373.0,13.0,Create,Moderate
3031,Critique a major study or paper regarding Ion trap.,Physics,Ion trap,21.0,0.22,2780.0,611.0,11.0,Apply,Moderate
3032,What role does Microbiology play in the advancement of Biology technology?,Biology,Microbiology,60.33,0.63,1413.0,890.0,17.0,Analyze,Medium
3033,Describe a real-world application of Gas laws in industry or daily life.,Chemistry,Gas laws,60.5,0.65,2211.0,1437.0,7.0,Evaluate,Medium
3034,How has the understanding of Supply and Demand evolved since the 20th century? - Perspective 216,Economics,Supply and Demand,96.78,0.97,1394.0,1352.0,20.0,Remember,Moderate
3035,Explain the step-by-step mechanism of Macroeconomics.,Economics,Macroeconomics,68.91,0.72,989.0,712.0,9.0,Create,Moderate
3036,Identify the three most critical components of Probability. - Perspective 462,Maths,Probability,32.78,0.35,459.0,160.0,5.0,Analyze,Moderate
3037,Predict the future trends of Roman Empire over the next decade.,History,Roman Empire,15.11,0.19,2956.0,561.0,2.0,Remember,Easy
3038,Describe a real-world application of General Biology in industry or daily life. - Perspective 593,Science,General Biology,61.52,0.59,1108.0,653.0,20.0,Evaluate,Medium
3039,Analyze the relationship between Silk Road and the wider History field. - Perspective 347,History,Silk Road,99.63,0.95,1296.0,1231.0,4.0,Analyze,Medium
3040,Identify the three most critical components of GDP.,Economics,GDP,58.98,0.62,1066.0,660.0,7.0,Create,Moderate
3041,Evaluate the impact of Complex Sentences on society today.,English,Complex Sentences,36.49,0.37,520.0,192.0,8.0,Evaluate,Medium
3042,Critique a major study or paper regarding Energy Sources.,Science,Energy Sources,31.58,0.29,2960.0,858.0,8.0,Remember,Moderate
3043,Solve a comprehensive problem involving the core principles of Industrial Revolution. - Perspective 590,History,Industrial Revolution,50.84,0.55,254.0,139.0,10.0,Apply,Easy
3044,What is the significance of Deforestation in modern Geography research? - Perspective 128,Geography,Deforestation,28.64,0.31,1499.0,464.0,15.0,Create,Moderate
3045,Explain the step-by-step mechanism of Human Nervous System.,Biology,Human Nervous System,30.14,0.27,1034.0,279.0,20.0,Understand,Medium
3046,Analyze the relationship between World War I and the wider History field.,History,World War I,81.52,0.86,1032.0,887.0,14.0,Understand,Easy
3047,Evaluate the impact of Composition of Air on society today.,Geography,Composition of Air,37.21,0.39,775.0,302.0,10.0,Remember,Easy
3048,Critique a major study or paper regarding Graph theory.,Mathematics,Graph theory,24.06,0.2,637.0,127.0,11.0,Evaluate,Easy
3049,Predict the future trends of Magna Carta over the next decade. - Perspective 517,History,Magna Carta,82.05,0.86,661.0,568.0,19.0,Remember,Medium
3050,Draft a detailed overview of the mathematical foundations of The Crusades. - Perspective 243,History,The Crusades,52.08,0.53,2369.0,1255.0,12.0,Evaluate,Hard
3051,What role does Probability play in the advancement of Mathematics technology?,Mathematics,Probability,29.1,0.27,2294.0,619.0,5.0,Evaluate,Easy
3052,Compare and contrast the primary theories of Inflation. - Perspective 935,Economics,Inflation,38.25,0.39,2161.0,842.0,1.0,Create,Easy
3053,How does SQL Joins affect the global economy or environment? - Perspective 437,Computer Science,SQL Joins,36.31,0.33,1275.0,420.0,17.0,Apply,Easy
3054,Predict the future trends of Energy Sources over the next decade. - Perspective 314,Science,Energy Sources,16.08,0.16,1994.0,319.0,7.0,Remember,Hard
3055,Summarize the key experimental findings related to Agriculture. - Perspective 905,Geography,Agriculture,33.98,0.31,990.0,306.0,8.0,Analyze,Hard
3056,What role does Rocket car physics play in the advancement of Physics technology?,Physics,Rocket car physics,66.38,0.69,1891.0,1304.0,8.0,Evaluate,Moderate
3057,Describe a real-world application of Arithmetic in industry or daily life.,Mathematics,Arithmetic,96.96,0.96,2967.0,2848.0,7.0,Analyze,Hard
3058,Evaluate the impact of Biodiversity on society today.,Biology,Biodiversity,98.63,0.96,2825.0,2712.0,8.0,Evaluate,Moderate
3059,Compare and contrast the primary theories of Software Engineering. - Perspective 971,Computer Science,Software Engineering,91.52,0.94,1125.0,1057.0,6.0,Apply,Easy
3060,Discuss the ethical challenges associated with American Civil War. - Perspective 643,History,American Civil War,25.8,0.24,548.0,131.0,6.0,Remember,Hard
3061,Summarize the key experimental findings related to Trigonometry. - Perspective 815,Maths,Trigonometry,96.27,0.96,681.0,653.0,16.0,Apply,Easy
3062,Draft a detailed overview of the mathematical foundations of Magna Carta. - Perspective 335,History,Magna Carta,25.82,0.22,585.0,128.0,14.0,Evaluate,Moderate
3063,Evaluate the impact of Indian Rocks on society today.,Geography,Indian Rocks,21.66,0.18,425.0,76.0,7.0,Understand,Moderate
3064,Predict the future trends of Ecology over the next decade. - Perspective 208,Science,Ecology,52.34,0.49,129.0,63.0,20.0,Create,Easy
3065,Outline the historical development of Geometry concepts. - Perspective 440,Maths,Geometry,56.7,0.54,938.0,506.0,3.0,Create,Moderate
3066,Examine the cross-disciplinary applications of Web Development in other fields. - Perspective 365,Computer Science,Web Development,83.42,0.85,1593.0,1354.0,5.0,Apply,Moderate
3067,How does Inflation affect the global economy or environment?,Economics,Inflation,13.95,0.12,2481.0,297.0,14.0,Create,Hard
3068,Analyze the relationship between Algorithms and the wider Computer Science field.,Computer Science,Algorithms,40.86,0.45,80.0,36.0,18.0,Evaluate,Hard
3069,Discuss the ethical challenges associated with Ecology.,Science,Ecology,61.44,0.64,551.0,352.0,4.0,Remember,Moderate
3070,How has the understanding of Literature Analysis evolved since the 20th century?,English,Literature Analysis,47.59,0.43,1841.0,791.0,1.0,Apply,Medium
3071,What role does General Physics play in the advancement of Science technology? - Perspective 156,Science,General Physics,40.79,0.43,2875.0,1236.0,5.0,Apply,Hard
3072,What are the most common misconceptions about Sentence Arrangement?,English,Sentence Arrangement,42.77,0.42,274.0,115.0,3.0,Create,Hard
3073,Examine the cross-disciplinary applications of Urban Planning in other fields. - Perspective 784,Social Science,Urban Planning,79.27,0.84,1991.0,1672.0,19.0,Understand,Hard
3074,Examine the cross-disciplinary applications of Stock Markets in other fields. - Perspective 688,Economics,Stock Markets,21.39,0.18,1837.0,330.0,6.0,Apply,Medium
3075,Evaluate the impact of Biofertilizers on society today. - Perspective 334,Biology,Biofertilizers,39.56,0.35,2972.0,1040.0,16.0,Analyze,Hard
3076,Examine the cross-disciplinary applications of Decision Making in other fields.,Economics,Decision Making,81.28,0.81,1432.0,1159.0,1.0,Understand,Moderate
3077,Summarize the key experimental findings related to Nouns. - Perspective 193,English,Nouns,46.69,0.42,1369.0,574.0,16.0,Create,Medium
3078,Compare and contrast the primary theories of Income Inequality.,Economics,Income Inequality,16.2,0.13,1015.0,131.0,14.0,Understand,Moderate
3079,Examine the cross-disciplinary applications of Limits in other fields.,Mathematics,Limits,15.3,0.16,2940.0,470.0,3.0,Remember,Medium
3080,Draft a detailed overview of the mathematical foundations of Modal Verbs. - Perspective 184,English,Modal Verbs,87.11,0.83,2184.0,1812.0,1.0,Create,Medium
3081,Summarize the key experimental findings related to Hydrocarbons.,Chemistry,Hydrocarbons,45.6,0.45,2265.0,1019.0,1.0,Remember,Hard
3082,What are the most common misconceptions about Fluid Mechanics?,Physics,Fluid Mechanics,79.9,0.76,690.0,524.0,13.0,Evaluate,Medium
3083,What are the most common misconceptions about Deforestation? - Perspective 505,Geography,Deforestation,36.21,0.35,2298.0,804.0,3.0,Remember,Medium
3084,Explain the step-by-step mechanism of Polymer Chemistry. - Perspective 288,Chemistry,Polymer Chemistry,29.96,0.33,2545.0,839.0,11.0,Analyze,Hard
3085,What is the significance of Urban Planning in modern Social Science research? - Perspective 895,Social Science,Urban Planning,9.22,0.12,983.0,117.0,6.0,Apply,Hard
3086,Analyze the relationship between Quantum mechanics and the wider Physics field.,Physics,Quantum mechanics,73.29,0.73,2207.0,1611.0,20.0,Analyze,Medium
3087,Propose a solution to a common challenge in Public Policy. - Perspective 879,Social Science,Public Policy,14.91,0.18,318.0,57.0,5.0,Apply,Easy
3088,Describe a real-world application of Indian Rocks in industry or daily life.,Geography,Indian Rocks,46.74,0.47,2674.0,1256.0,19.0,Create,Medium
3089,How does Computational Thinking affect the global economy or environment?,Computer Science,Computational Thinking,74.72,0.72,823.0,592.0,17.0,Create,Hard
3090,Describe a real-world application of Public Debt in industry or daily life. - Perspective 829,Economics,Public Debt,53.66,0.57,1289.0,734.0,18.0,Remember,Medium
3091,Identify the three most critical components of Water Resources.,Geography,Water Resources,19.35,0.18,2959.0,532.0,1.0,Analyze,Easy
3092,Compare and contrast the primary theories of Recursion.,Computer Science,Recursion,15.88,0.19,1404.0,266.0,20.0,Apply,Hard
3093,Examine the cross-disciplinary applications of World War I in other fields.,History,World War I,15.6,0.14,1424.0,199.0,3.0,Apply,Medium
3094,Summarize the key experimental findings related to Anthropology.,Social Science,Anthropology,84.98,0.89,142.0,126.0,2.0,Remember,Moderate
3095,Summarize the key experimental findings related to General Biology. - Perspective 233,Science,General Biology,59.55,0.61,1011.0,616.0,18.0,Analyze,Moderate
3096,How does Complex Sentences affect the global economy or environment? - Perspective 571,English,Complex Sentences,38.7,0.38,1666.0,633.0,8.0,Understand,Moderate
3097,Examine the cross-disciplinary applications of Population ecology in other fields.,Biology,Population ecology,27.64,0.26,2831.0,736.0,4.0,Evaluate,Medium
3098,What is the significance of Bohr's model in modern Chemistry research?,Chemistry,Bohr's model,27.58,0.28,1111.0,311.0,8.0,Evaluate,Easy
3099,Describe a real-world application of Motion graphs in industry or daily life.,Physics,Motion graphs,87.26,0.91,2442.0,2222.0,3.0,Create,Hard
3100,Describe a real-world application of Reproductive System in industry or daily life.,Biology,Reproductive System,49.05,0.47,2559.0,1202.0,9.0,Create,Easy
3101,Outline the historical development of Web Development concepts.,Computer Science,Web Development,25.42,0.23,723.0,166.0,9.0,Analyze,Easy
3102,Predict the future trends of Health and Diseases over the next decade.,Science,Health and Diseases,70.28,0.72,174.0,125.0,2.0,Understand,Moderate
3103,Discuss the ethical challenges associated with Public Debt. - Perspective 663,Economics,Public Debt,76.35,0.72,246.0,177.0,9.0,Evaluate,Medium
3104,Outline the historical development of Reproductive System concepts.,Biology,Reproductive System,82.76,0.83,2933.0,2434.0,19.0,Create,Moderate
